X_coordinate,S22_Stress,U2_Displacement
0.000000,-5.233478,-0.000170
0.100000,-5.233400,-0.000170
0.200000,-5.240278,-0.000170
0.300000,-5.252518,-0.000171
0.400000,-5.271115,-0.000171
0.500000,-5.292278,-0.000172
0.600000,-5.320445,-0.000172
0.700000,-5.351903,-0.000173
0.800000,-5.390275,-0.000174
0.900000,-5.432087,-0.000175
1.000000,-5.481005,-0.000176
1.100000,-5.533807,-0.000177
1.200000,-5.593650,-0.000178
1.300000,-5.658028,-0.000179
1.400000,-5.729542,-0.000181
1.500000,-5.807806,-0.000182
1.600000,-5.892581,-0.000184
1.700000,-5.984824,-0.000185
1.800000,-6.081827,-0.000187
1.900000,-6.199015,-0.000189
2.000000,-6.328761,-0.000191
2.100000,-6.407040,-0.000192
2.200000,-6.488384,-0.000194
2.300000,-6.572206,-0.000196
2.400000,-6.663714,-0.000198
2.500000,-6.759160,-0.000199
2.600000,-6.863667,-0.000201
2.700000,-6.967930,-0.000203
2.800000,-7.090515,-0.000205
2.900000,-7.213232,-0.000207
3.000000,-7.340854,-0.000208
3.100000,-7.468896,-0.000210
3.200000,-7.611194,-0.000212
3.300000,-7.748756,-0.000214
3.400000,-7.899063,-0.000215
3.500000,-8.044194,-0.000217
3.600000,-8.197149,-0.000218
3.700000,-8.340442,-0.000219
3.800000,-8.478450,-0.000221
3.900000,-8.612013,-0.000221
4.000000,-8.597509,-0.000222
4.100000,-8.738944,-0.000222
4.200000,-8.852373,-0.000223
4.300000,-8.853563,-0.000223
4.400000,-8.967167,-0.000222
4.500000,-8.936230,-0.000222
4.600000,-8.917706,-0.000220
4.700000,-9.062825,-0.000219
4.800000,-8.875982,-0.000218
4.900000,-9.337931,-0.000217
5.000000,-8.519812,-0.000216
5.100000,-8.668492,-0.000211
5.200000,-9.222486,-0.000214
5.300000,-4.187284,-0.000204
5.400000,-12.458175,-0.000212
5.500000,-5.241309,-0.000191
5.600000,-15.788769,-0.000206
5.700000,-16.053505,-0.000186
5.800000,-20.013851,-0.000190
5.900000,-21.179249,-0.000181
6.000000,-21.062160,-0.000173
6.100000,-23.120245,-0.000172
6.200000,-20.758585,-0.000160
6.300000,-22.319740,-0.000159
6.400000,-21.350197,-0.000150
6.500000,-20.677687,-0.000143
6.600000,-21.338053,-0.000138
6.700000,-20.893393,-0.000125
6.800000,-18.306787,-0.000122
6.900000,-21.439762,-0.000107
7.000000,-22.290657,-0.000175
7.100000,-19.626463,0.001102
7.200000,-42.068718,0.003470
7.300000,-47.497135,0.015312
7.400000,-65.633842,0.024059
7.500000,-72.850456,0.041788
7.600000,-67.243057,0.053765
7.700000,-60.219181,0.069185
7.800000,13.599613,0.098640
7.900000,-126.270363,0.168287
8.000000,-265.690613,0.291202
8.100000,-9.044044,0.468353
8.200000,-386.846497,0.622783
8.300000,105.973816,0.710311
8.400000,-125.170769,0.707826
8.500000,-82.240677,0.776880
8.600000,-159.115387,0.845152
8.700000,-209.678864,0.832750
8.800000,-110.346603,0.803312
8.900000,-189.221786,0.852152
9.000000,-268.987732,0.880629
9.100000,-230.872406,0.892675
9.200000,-248.577606,0.904000
9.300000,-95.652969,0.852910
9.400000,-175.148422,0.789543
9.500000,46.338394,0.774206
9.600000,-153.323807,0.737679
9.700000,-48.348370,0.758693
9.800000,-88.870285,0.770041
9.900000,-73.664566,0.773753
10.000000,-71.281235,0.773703
10.100000,-73.664597,0.773753
10.200000,-88.870293,0.770041
10.300000,-48.348328,0.758693
10.400000,-153.323837,0.737679
10.500000,46.338356,0.774206
10.600000,-175.148285,0.789543
10.700000,-95.653053,0.852910
10.800000,-248.577194,0.904000
10.900000,-230.872391,0.892675
11.000000,-268.988220,0.880629
11.100000,-189.221832,0.852152
11.200000,-110.346298,0.803312
11.300000,-209.678711,0.832750
11.400000,-159.115601,0.845152
11.500000,-82.240913,0.776880
11.600000,-125.171738,0.707826
11.700000,105.974052,0.710311
11.800000,-386.848389,0.622783
11.900000,-9.043566,0.468354
12.000000,-265.691345,0.291202
12.100000,-126.271294,0.168287
12.200000,13.597679,0.098640
12.300000,-60.215832,0.069185
12.400000,-67.244812,0.053766
12.500000,-72.849945,0.041789
12.600000,-65.633575,0.024059
12.700000,-47.497002,0.015312
12.800000,-42.068913,0.003470
12.900000,-19.626411,0.001102
13.000000,-22.289932,-0.000175
13.100000,-21.439722,-0.000107
13.200000,-18.306675,-0.000122
13.300000,-20.893513,-0.000125
13.400000,-21.337730,-0.000138
13.500000,-20.677685,-0.000143
13.600000,-21.350407,-0.000150
13.700000,-22.319450,-0.000159
13.800000,-20.758801,-0.000160
13.900000,-23.120497,-0.000172
14.000000,-21.062258,-0.000173
14.100000,-21.178791,-0.000181
14.200000,-20.014069,-0.000190
14.300000,-16.053925,-0.000186
14.400000,-15.788310,-0.000206
